Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 20
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 70814, 'n_jobs': -1, 'max_depth': 9, 'learning_rate': 0.20211525651495557, 'n_estimators': 900, 'min_child_weight': 1, 'gamma': 0.0011375210935630209, 'subsample': 0.8669667098532958, 'colsample_bytree': 0.9319591927218307, 'max_delta_step': 8}
Optimal Threshold: 0.1100
Accuracy: 0.9505596675
Detection Rate: 0.8861228070
False Positive Rate: 0.0036064142

--- Per-Round Attention Weights ---
Round 1: α = [0.029582944082320716, 0.06871301997787395, 0.029582944082320716, 0.0687733019518546, 0.029582944082320716, 0.029582944082320716, 0.029582944082320716, 0.06078093097141809, 0.06542301202327548, 0.06814578666889537, 0.0673587728848686, 0.06757030832560489, 0.029582944082320716, 0.029582944082320716, 0.06596310678857498, 0.029582944082320716, 0.06381725544335835, 0.06786961008074509, 0.029582944082320716, 0.06933839814264414]
  Client 0: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 1: DR=0.8466, FPR=0.0045, Score=0.8427
  Client 2: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 3: DR=0.8499, FPR=0.0074, Score=0.8436
  Client 4: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 5: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 6: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 7: DR=0.8502, FPR=0.1530, Score=0.7201
  Client 8: DR=0.8487, FPR=0.0649, Score=0.7937
  Client 9: DR=0.8406, FPR=0.0073, Score=0.8345
  Client 10: DR=0.8319, FPR=0.0109, Score=0.8228
  Client 11: DR=0.8586, FPR=0.0381, Score=0.8260
  Client 12: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 13: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 14: DR=0.8100, FPR=0.0100, Score=0.8019
  Client 15: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 16: DR=0.7723, FPR=0.0045, Score=0.7688
  Client 17: DR=0.8326, FPR=0.0027, Score=0.8304
  Client 18: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 19: DR=0.8525, FPR=0.0008, Score=0.8518
Round 2: α = [0.04987975793351498, 0.04987975793351498, 0.04987975793351498, 0.04987975793351498, 0.04987975793351498, 0.050031664402059826, 0.04987975793351498, 0.0500502792472296, 0.050238392194688085, 0.05032309566355785, 0.050214740324606676, 0.04987975793351498, 0.05008640849846644, 0.04987975793351498, 0.050243207628319735, 0.049989722191897436, 0.04987975793351498, 0.04987975793351498, 0.04998889598154439, 0.050036014532480196]
  Client 0: DR=0.8429, FPR=0.0011, Score=0.8419
  Client 1: DR=0.8429, FPR=0.0011, Score=0.8419
  Client 2: DR=0.8429, FPR=0.0011, Score=0.8419
  Client 3: DR=0.8429, FPR=0.0011, Score=0.8419
  Client 4: DR=0.8429, FPR=0.0011, Score=0.8419
  Client 5: DR=0.8461, FPR=0.0013, Score=0.8450
  Client 6: DR=0.8429, FPR=0.0011, Score=0.8419
  Client 7: DR=0.8465, FPR=0.0014, Score=0.8453
  Client 8: DR=0.8501, FPR=0.0013, Score=0.8491
  Client 9: DR=0.8517, FPR=0.0011, Score=0.8508
  Client 10: DR=0.8497, FPR=0.0013, Score=0.8486
  Client 11: DR=0.8429, FPR=0.0011, Score=0.8419
  Client 12: DR=0.8470, FPR=0.0012, Score=0.8460
  Client 13: DR=0.8429, FPR=0.0011, Score=0.8419
  Client 14: DR=0.8502, FPR=0.0012, Score=0.8492
  Client 15: DR=0.8448, FPR=0.0008, Score=0.8441
  Client 16: DR=0.8429, FPR=0.0011, Score=0.8419
  Client 17: DR=0.8429, FPR=0.0011, Score=0.8419
  Client 18: DR=0.8452, FPR=0.0013, Score=0.8441
  Client 19: DR=0.8458, FPR=0.0009, Score=0.8450
