Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 20
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 70814, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.6000
Accuracy: 0.9671278679
Detection Rate: 0.8950974220
False Positive Rate: 0.0059635625

--- Per-Round Attention Weights ---
Round 1: α = [0.04978311473997118, 0.049681265307736804, 0.04969003345911794, 0.049771126749698566, 0.05090805459100266, 0.0497728074468071, 0.04970676839244086, 0.04966399001408047, 0.049806663703967274, 0.05090736352192456, 0.04967597751990049, 0.049408247635456856, 0.05091461066716587, 0.04970183536389404, 0.049704805557730485, 0.05092005289061217, 0.04968715608656599, 0.04970590939478057, 0.049704480503915335, 0.05088573645323085]
  Client 0: DR=0.8937, FPR=0.0644, Score=0.8362
  Client 1: DR=0.8901, FPR=0.0628, Score=0.8341
  Client 2: DR=0.8916, FPR=0.0643, Score=0.8343
  Client 3: DR=0.8945, FPR=0.0654, Score=0.8360
  Client 4: DR=0.9167, FPR=0.0635, Score=0.8585
  Client 5: DR=0.8932, FPR=0.0640, Score=0.8360
  Client 6: DR=0.8907, FPR=0.0629, Score=0.8347
  Client 7: DR=0.8919, FPR=0.0652, Score=0.8338
  Client 8: DR=0.8928, FPR=0.0628, Score=0.8367
  Client 9: DR=0.9168, FPR=0.0635, Score=0.8585
  Client 10: DR=0.8925, FPR=0.0655, Score=0.8340
  Client 11: DR=0.8856, FPR=0.0644, Score=0.8286
  Client 12: DR=0.9168, FPR=0.0634, Score=0.8587
  Client 13: DR=0.8912, FPR=0.0635, Score=0.8346
  Client 14: DR=0.8910, FPR=0.0632, Score=0.8346
  Client 15: DR=0.9164, FPR=0.0629, Score=0.8588
  Client 16: DR=0.8901, FPR=0.0628, Score=0.8343
  Client 17: DR=0.8910, FPR=0.0632, Score=0.8346
  Client 18: DR=0.8909, FPR=0.0631, Score=0.8346
  Client 19: DR=0.9174, FPR=0.0647, Score=0.8581
Round 2: α = [0.049998706747547084, 0.050000559606321486, 0.049998706747547084, 0.049999855614728965, 0.049998706747547084, 0.049998706747547084, 0.049998706747547084, 0.049998706747547084, 0.049999855614728965, 0.0500017081500301, 0.050000559606321486, 0.0500017081500301, 0.0500017081500301, 0.0500017081500301, 0.050000559606321486, 0.049998706747547084, 0.0500017081500301, 0.050000559606321486, 0.049998706747547084, 0.049999855614728965]
  Client 0: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 1: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 2: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 3: DR=0.8909, FPR=0.0633, Score=0.8345
  Client 4: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 5: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 6: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 7: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 8: DR=0.8909, FPR=0.0633, Score=0.8345
  Client 9: DR=0.8909, FPR=0.0633, Score=0.8346
  Client 10: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 11: DR=0.8909, FPR=0.0633, Score=0.8346
  Client 12: DR=0.8909, FPR=0.0633, Score=0.8346
  Client 13: DR=0.8909, FPR=0.0633, Score=0.8346
  Client 14: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 15: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 16: DR=0.8909, FPR=0.0633, Score=0.8346
  Client 17: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 18: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 19: DR=0.8909, FPR=0.0633, Score=0.8345
Round 3: α = [0.04999992726861242, 0.04999992726861242, 0.04999992726861242, 0.04999992726861242, 0.05000004848759173, 0.05000004848759173, 0.05000004848759173, 0.05000004848759173, 0.04999992726861242, 0.04999992726861242, 0.05000004848759173, 0.05000004848759173, 0.05000004848759173, 0.05000004848759173, 0.05000004848759173, 0.05000004848759173, 0.04999992726861242, 0.05000004848759173, 0.05000004848759173, 0.04999992726861242]
  Client 0: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 1: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 2: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 3: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 4: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 5: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 6: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 7: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 8: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 9: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 10: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 11: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 12: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 13: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 14: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 15: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 16: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 17: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 18: DR=0.8911, FPR=0.0635, Score=0.8345
  Client 19: DR=0.8911, FPR=0.0635, Score=0.8345
Round 4: α = [0.05000100026622584, 0.04999918160036068, 0.04999918160036068, 0.04999918160036068, 0.04999918160036068, 0.04999918160036068, 0.05000100026622584, 0.04999918160036068, 0.05000100026622584, 0.05000100026622584, 0.05000100026622584, 0.05000100026622584, 0.04999918160036068, 0.04999918160036068, 0.05000100026622584, 0.05000100026622584, 0.04999918160036068, 0.05000100026622584, 0.04999918160036068, 0.04999918160036068]
  Client 0: DR=0.9464, FPR=0.0633, Score=0.8864
  Client 1: DR=0.9463, FPR=0.0633, Score=0.8864
  Client 2: DR=0.9463, FPR=0.0633, Score=0.8864
  Client 3: DR=0.9463, FPR=0.0633, Score=0.8864
  Client 4: DR=0.9463, FPR=0.0633, Score=0.8864
  Client 5: DR=0.9463, FPR=0.0633, Score=0.8864
  Client 6: DR=0.9464, FPR=0.0633, Score=0.8864
  Client 7: DR=0.9463, FPR=0.0633, Score=0.8864
  Client 8: DR=0.9464, FPR=0.0633, Score=0.8864
  Client 9: DR=0.9464, FPR=0.0633, Score=0.8864
  Client 10: DR=0.9464, FPR=0.0633, Score=0.8864
  Client 11: DR=0.9464, FPR=0.0633, Score=0.8864
  Client 12: DR=0.9463, FPR=0.0633, Score=0.8864
  Client 13: DR=0.9463, FPR=0.0633, Score=0.8864
  Client 14: DR=0.9464, FPR=0.0633, Score=0.8864
  Client 15: DR=0.9464, FPR=0.0633, Score=0.8864
  Client 16: DR=0.9463, FPR=0.0633, Score=0.8864
  Client 17: DR=0.9464, FPR=0.0633, Score=0.8864
  Client 18: DR=0.9463, FPR=0.0633, Score=0.8864
  Client 19: DR=0.9463, FPR=0.0633, Score=0.8864
Round 5: α = [0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]
  Client 0: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 1: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 2: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 3: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 4: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 5: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 6: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 7: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 8: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 9: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 10: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 11: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 12: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 13: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 14: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 15: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 16: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 17: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 18: DR=0.9461, FPR=0.0633, Score=0.8862
  Client 19: DR=0.9461, FPR=0.0633, Score=0.8862
Round 6: α = [0.04999993790769537, 0.04999993790769537, 0.04999993790769537, 0.04999993790769537, 0.04999993790769537, 0.05000117975378808, 0.04999993790769537, 0.04999993790769537, 0.04999993790769537, 0.04999993790769537, 0.04999993790769537, 0.04999993790769537, 0.04999993790769537, 0.04999993790769537, 0.04999993790769537, 0.04999993790769537, 0.04999993790769537, 0.04999993790769537, 0.04999993790769537, 0.04999993790769537]
  Client 0: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 1: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 2: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 3: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 4: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 5: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 6: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 7: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 8: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 9: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 10: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 11: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 12: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 13: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 14: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 15: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 16: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 17: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 18: DR=0.9172, FPR=0.0634, Score=0.8590
  Client 19: DR=0.9172, FPR=0.0634, Score=0.8590
