Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 8
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 62529, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.5200
Accuracy: 0.9368557659
Detection Rate: 0.7915783021
False Positive Rate: 0.0088726174

--- Per-Round Attention Weights ---
Round 1: α = [0.2466635469227821, 0.3755570679285709, 0.37777938514864695]
  Client 0: DR=0.3928, FPR=0.0070, Score=0.3900
  Client 1: DR=0.8706, FPR=0.0691, Score=0.8104
  Client 2: DR=0.8270, FPR=0.0129, Score=0.8163
Round 2: α = [0.3260152581851789, 0.3474059303372938, 0.32657881147752726]
  Client 0: DR=0.6691, FPR=0.0090, Score=0.6631
  Client 1: DR=0.7333, FPR=0.0090, Score=0.7267
  Client 2: DR=0.6678, FPR=0.0045, Score=0.6648
Round 3: α = [0.3332553869557772, 0.3334623520771204, 0.33328226096710234]
  Client 0: DR=0.7575, FPR=0.0090, Score=0.7507
  Client 1: DR=0.7582, FPR=0.0090, Score=0.7513
  Client 2: DR=0.7576, FPR=0.0090, Score=0.7508
Round 4: α = [0.3329246522677112, 0.33297163229706483, 0.33410371543522405]
  Client 0: DR=0.7575, FPR=0.0090, Score=0.7507
  Client 1: DR=0.7577, FPR=0.0090, Score=0.7508
  Client 2: DR=0.7611, FPR=0.0090, Score=0.7542
Round 5: α = [0.33363523946394485, 0.33261480471009974, 0.3337499558259554]
  Client 0: DR=0.7607, FPR=0.0090, Score=0.7539
  Client 1: DR=0.7576, FPR=0.0090, Score=0.7508
  Client 2: DR=0.7611, FPR=0.0090, Score=0.7542
Round 6: α = [0.33374883434381997, 0.3327288975836718, 0.33352226807250823]
  Client 0: DR=0.7605, FPR=0.0073, Score=0.7550
  Client 1: DR=0.7575, FPR=0.0073, Score=0.7519
  Client 2: DR=0.7611, FPR=0.0090, Score=0.7543
Round 7: α = [0.33332649189860475, 0.33334701620279045, 0.33332649189860475]
  Client 0: DR=0.7607, FPR=0.0090, Score=0.7539
  Client 1: DR=0.7608, FPR=0.0090, Score=0.7539
  Client 2: DR=0.7607, FPR=0.0090, Score=0.7539
Round 8: α = [0.33223964609131434, 0.33558474839829866, 0.33217560551038705]
  Client 0: DR=0.7606, FPR=0.0090, Score=0.7537
  Client 1: DR=0.7707, FPR=0.0090, Score=0.7638
  Client 2: DR=0.7604, FPR=0.0090, Score=0.7535
Round 9: α = [0.3309594910946505, 0.3310265754441842, 0.33801393346116526]
  Client 0: DR=0.7705, FPR=0.0090, Score=0.7635
  Client 1: DR=0.7707, FPR=0.0090, Score=0.7638
  Client 2: DR=0.7918, FPR=0.0090, Score=0.7846
Round 10: α = [0.3316826277855794, 0.33743779818676595, 0.3308795740276546]
  Client 0: DR=0.7734, FPR=0.0090, Score=0.7664
  Client 1: DR=0.7907, FPR=0.0090, Score=0.7836
  Client 2: DR=0.7709, FPR=0.0090, Score=0.7640
Round 11: α = [0.3383503245193091, 0.33076526506518367, 0.33088441041550726]
