Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 20
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 62529, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.5200
Accuracy: 0.9645165724
Detection Rate: 0.8887765922
False Positive Rate: 0.0071890793

--- Per-Round Attention Weights ---
Round 1: α = [0.06475021818175043, 0.04154270326906724, 0.031832929647192254, 0.051283842946121205, 0.05127338072049104, 0.031832929647192254, 0.056526584386020054, 0.06715762409506425, 0.04811693674678629, 0.031832929647192254, 0.06721175870794922, 0.07224729494912703, 0.06119188359008557, 0.06848784262013449, 0.031832929647192254, 0.05909952108132081, 0.031832929647192254, 0.031832929647192254, 0.038657626407787825, 0.06145520441514104]
  Client 0: DR=0.7177, FPR=0.0107, Score=0.7100
  Client 1: DR=0.2662, FPR=0.0000, Score=0.2662
  Client 2: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 3: DR=0.4826, FPR=0.0118, Score=0.4769
  Client 4: DR=0.4801, FPR=0.0070, Score=0.4767
  Client 5: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 6: DR=0.5787, FPR=0.0077, Score=0.5742
  Client 7: DR=0.7565, FPR=0.0132, Score=0.7465
  Client 8: DR=0.4153, FPR=0.0052, Score=0.4131
  Client 9: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 10: DR=0.9575, FPR=0.2194, Score=0.7473
  Client 11: DR=0.9907, FPR=0.1727, Score=0.8196
  Client 12: DR=0.9579, FPR=0.3177, Score=0.6535
  Client 13: DR=0.7705, FPR=0.0056, Score=0.7662
  Client 14: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 15: DR=0.9121, FPR=0.3216, Score=0.6187
  Client 16: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 17: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 18: DR=0.1943, FPR=0.0001, Score=0.1942
  Client 19: DR=0.9697, FPR=0.3216, Score=0.6578
Round 2: α = [0.05018098816881627, 0.04990213143858871, 0.0487786567680532, 0.05023518934604306, 0.05018098816881627, 0.050056190507886754, 0.05018098816881627, 0.04999099797038405, 0.0493378814567538, 0.05033521853615949, 0.050241255087867864, 0.05018098816881627, 0.049906328431989874, 0.050336204960284694, 0.05018098816881627, 0.05004913996804275, 0.05018098816881627, 0.050242391980972426, 0.04916075280430538, 0.050341731729770245]
  Client 0: DR=0.8270, FPR=0.0093, Score=0.8193
  Client 1: DR=0.8213, FPR=0.0092, Score=0.8137
  Client 2: DR=0.7982, FPR=0.0091, Score=0.7909
  Client 3: DR=0.8276, FPR=0.0087, Score=0.8204
  Client 4: DR=0.8270, FPR=0.0093, Score=0.8193
  Client 5: DR=0.8241, FPR=0.0088, Score=0.8168
  Client 6: DR=0.8270, FPR=0.0093, Score=0.8193
  Client 7: DR=0.8227, FPR=0.0087, Score=0.8155
  Client 8: DR=0.8099, FPR=0.0093, Score=0.8023
  Client 9: DR=0.8300, FPR=0.0092, Score=0.8223
  Client 10: DR=0.8282, FPR=0.0093, Score=0.8205
  Client 11: DR=0.8270, FPR=0.0093, Score=0.8193
  Client 12: DR=0.8214, FPR=0.0093, Score=0.8138
  Client 13: DR=0.8301, FPR=0.0093, Score=0.8224
  Client 14: DR=0.8270, FPR=0.0093, Score=0.8193
  Client 15: DR=0.8243, FPR=0.0093, Score=0.8166
  Client 16: DR=0.8270, FPR=0.0093, Score=0.8193
  Client 17: DR=0.8278, FPR=0.0088, Score=0.8205
  Client 18: DR=0.8057, FPR=0.0087, Score=0.7987
  Client 19: DR=0.8302, FPR=0.0093, Score=0.8225
Round 3: α = [0.05002319696010998, 0.04997366422706652, 0.04997366422706652, 0.050030392963870296, 0.049990761179241415, 0.04997276706975167, 0.04997366422706652, 0.04997776572276566, 0.05003373001176823, 0.050030007798708614, 0.05003639440438292, 0.04997366422706652, 0.05003924808807945, 0.04997366422706652, 0.05005779523200596, 0.04998417498370868, 0.04997366422706652, 0.049982123930785105, 0.04996648741950817, 0.05003316887291488]
  Client 0: DR=0.8311, FPR=0.0092, Score=0.8234
  Client 1: DR=0.8302, FPR=0.0093, Score=0.8225
  Client 2: DR=0.8302, FPR=0.0093, Score=0.8225
  Client 3: DR=0.8308, FPR=0.0087, Score=0.8236
  Client 4: DR=0.8305, FPR=0.0093, Score=0.8228
  Client 5: DR=0.8302, FPR=0.0093, Score=0.8224
  Client 6: DR=0.8302, FPR=0.0093, Score=0.8225
  Client 7: DR=0.8303, FPR=0.0093, Score=0.8225
  Client 8: DR=0.8314, FPR=0.0093, Score=0.8237
  Client 9: DR=0.8308, FPR=0.0087, Score=0.8236
  Client 10: DR=0.8310, FPR=0.0088, Score=0.8237
  Client 11: DR=0.8302, FPR=0.0093, Score=0.8225
  Client 12: DR=0.8315, FPR=0.0093, Score=0.8238
  Client 13: DR=0.8302, FPR=0.0093, Score=0.8225
  Client 14: DR=0.8314, FPR=0.0087, Score=0.8241
  Client 15: DR=0.8304, FPR=0.0093, Score=0.8227
  Client 16: DR=0.8302, FPR=0.0093, Score=0.8225
  Client 17: DR=0.8304, FPR=0.0093, Score=0.8226
  Client 18: DR=0.8301, FPR=0.0093, Score=0.8223
