Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 20
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 79397, 'n_jobs': -1, 'max_depth': 9, 'learning_rate': 0.20211525651495557, 'n_estimators': 900, 'min_child_weight': 1, 'gamma': 0.0011375210935630209, 'subsample': 0.8669667098532958, 'colsample_bytree': 0.9319591927218307, 'max_delta_step': 8}
Optimal Threshold: 0.9900
Accuracy: 0.4042439931
Detection Rate: 0.8167543860
False Positive Rate: 0.8891745180

--- Per-Round Attention Weights ---
Round 1: α = [0.04992953793870473, 0.04988324595606143, 0.049872446314821996, 0.0500919393855442, 0.04987848889040394, 0.05009269717060719, 0.05015394126154626, 0.050071214368298846, 0.05014249019099105, 0.04986850619540605, 0.05017333628596637, 0.0501147284773493, 0.04987485490335442, 0.04992760014964459, 0.04986934845309886, 0.05001965763685321, 0.050043555674456945, 0.049906083251048936, 0.050162683679376444, 0.049923643816465205]
  Client 0: DR=0.8624, FPR=0.0019, Score=0.8607
  Client 1: DR=0.8610, FPR=0.0015, Score=0.8598
  Client 2: DR=0.8616, FPR=0.0024, Score=0.8596
  Client 3: DR=0.8656, FPR=0.0019, Score=0.8640
  Client 4: DR=0.8604, FPR=0.0008, Score=0.8597
  Client 5: DR=0.8658, FPR=0.0021, Score=0.8640
  Client 6: DR=0.8678, FPR=0.0030, Score=0.8652
  Client 7: DR=0.8650, FPR=0.0017, Score=0.8635
  Client 8: DR=0.8663, FPR=0.0016, Score=0.8650
  Client 9: DR=0.8609, FPR=0.0016, Score=0.8595
  Client 10: DR=0.8675, FPR=0.0022, Score=0.8656
  Client 11: DR=0.8661, FPR=0.0020, Score=0.8644
  Client 12: DR=0.8606, FPR=0.0012, Score=0.8596
  Client 13: DR=0.8619, FPR=0.0014, Score=0.8607
  Client 14: DR=0.8607, FPR=0.0014, Score=0.8595
  Client 15: DR=0.8637, FPR=0.0014, Score=0.8625
  Client 16: DR=0.8646, FPR=0.0019, Score=0.8630
  Client 17: DR=0.8611, FPR=0.0010, Score=0.8602
  Client 18: DR=0.8675, FPR=0.0025, Score=0.8654
  Client 19: DR=0.8616, FPR=0.0012, Score=0.8606
Round 2: α = [0.04999449622805543, 0.05000113099822951, 0.049998711663569353, 0.049998192681176334, 0.049997768738807305, 0.04999887891632212, 0.04999966906967669, 0.04999869441024935, 0.049995577438065146, 0.05000012740000609, 0.0500010704045289, 0.0500035650140703, 0.05000011026913358, 0.050000658164915314, 0.05000123767372425, 0.050002529743096435, 0.05000245466301631, 0.05000464635071497, 0.04999769095713808, 0.0500027892155044]
  Client 0: DR=0.8577, FPR=0.0007, Score=0.8571
  Client 1: DR=0.8578, FPR=0.0007, Score=0.8572
  Client 2: DR=0.8578, FPR=0.0007, Score=0.8572
  Client 3: DR=0.8577, FPR=0.0007, Score=0.8572
  Client 4: DR=0.8578, FPR=0.0007, Score=0.8572
  Client 5: DR=0.8578, FPR=0.0007, Score=0.8572
  Client 6: DR=0.8578, FPR=0.0007, Score=0.8572
  Client 7: DR=0.8577, FPR=0.0006, Score=0.8572
  Client 8: DR=0.8577, FPR=0.0007, Score=0.8571
  Client 9: DR=0.8578, FPR=0.0007, Score=0.8572
  Client 10: DR=0.8578, FPR=0.0007, Score=0.8572
  Client 11: DR=0.8579, FPR=0.0006, Score=0.8573
  Client 12: DR=0.8578, FPR=0.0007, Score=0.8572
  Client 13: DR=0.8578, FPR=0.0007, Score=0.8572
  Client 14: DR=0.8578, FPR=0.0007, Score=0.8572
  Client 15: DR=0.8578, FPR=0.0006, Score=0.8573
  Client 16: DR=0.8578, FPR=0.0007, Score=0.8573
  Client 17: DR=0.8579, FPR=0.0007, Score=0.8573
  Client 18: DR=0.8577, FPR=0.0007, Score=0.8572
  Client 19: DR=0.8578, FPR=0.0007, Score=0.8573
Round 3: α = [0.05000049464214515, 0.05000049464214515, 0.05000049464214515, 0.05000049464214515, 0.04999893368112389, 0.049999309150288856, 0.05000049464214515, 0.04999933159912367, 0.05000049464214515, 0.04999893368112389, 0.05000049464214515, 0.04999919417820489, 0.05000049464214515, 0.05000049464214515, 0.04999893368112389, 0.04999893368112389, 0.05000049464214515, 0.05000049464214515, 0.05000049464214515, 0.05000049464214515]
  Client 0: DR=0.9995, FPR=0.9475, Score=0.0524
  Client 1: DR=0.9995, FPR=0.9475, Score=0.0524
  Client 2: DR=0.9995, FPR=0.9475, Score=0.0524
  Client 3: DR=0.9995, FPR=0.9475, Score=0.0524
  Client 4: DR=0.9997, FPR=0.9476, Score=0.0524
  Client 5: DR=0.9997, FPR=0.9476, Score=0.0524
  Client 6: DR=0.9995, FPR=0.9475, Score=0.0524
  Client 7: DR=0.9996, FPR=0.9476, Score=0.0524
  Client 8: DR=0.9995, FPR=0.9475, Score=0.0524
  Client 9: DR=0.9997, FPR=0.9476, Score=0.0524
  Client 10: DR=0.9995, FPR=0.9475, Score=0.0524
  Client 11: DR=0.9996, FPR=0.9476, Score=0.0524
  Client 12: DR=0.9995, FPR=0.9475, Score=0.0524
  Client 13: DR=0.9995, FPR=0.9475, Score=0.0524
  Client 14: DR=0.9997, FPR=0.9476, Score=0.0524
  Client 15: DR=0.9997, FPR=0.9476, Score=0.0524
  Client 16: DR=0.9995, FPR=0.9475, Score=0.0524
  Client 17: DR=0.9995, FPR=0.9475, Score=0.0524
  Client 18: DR=0.9995, FPR=0.9475, Score=0.0524
  Client 19: DR=0.9995, FPR=0.9475, Score=0.0524
Round 4: α = [0.04995706797708918, 0.04999164877531739, 0.05006957650427481, 0.050003067372704435, 0.05004430352669311, 0.05002672747597779, 0.04999745186437377, 0.04993838326069012, 0.049996406311795374, 0.05001768191244811, 0.04992715168627206, 0.04989682914870284, 0.05006614665229854, 0.050127625512229435, 0.05006029779034397, 0.04988126363480616, 0.0500013638628962, 0.04996169806701126, 0.0499552366229257, 0.05008007204114986]
  Client 0: DR=0.2291, FPR=0.0116, Score=0.2264
  Client 1: DR=0.2295, FPR=0.0105, Score=0.2271
  Client 2: DR=0.2316, FPR=0.0129, Score=0.2286
  Client 3: DR=0.2295, FPR=0.0095, Score=0.2273
  Client 4: DR=0.2304, FPR=0.0100, Score=0.2281
  Client 5: DR=0.2302, FPR=0.0103, Score=0.2278
  Client 6: DR=0.2294, FPR=0.0095, Score=0.2272
  Client 7: DR=0.2282, FPR=0.0097, Score=0.2260
  Client 8: DR=0.2294, FPR=0.0098, Score=0.2272
  Client 9: DR=0.2298, FPR=0.0095, Score=0.2276
  Client 10: DR=0.2279, FPR=0.0094, Score=0.2258
  Client 11: DR=0.2273, FPR=0.0093, Score=0.2252
  Client 12: DR=0.2310, FPR=0.0103, Score=0.2286
  Client 13: DR=0.2319, FPR=0.0092, Score=0.2298
  Client 14: DR=0.2306, FPR=0.0095, Score=0.2285
  Client 15: DR=0.2270, FPR=0.0094, Score=0.2249
  Client 16: DR=0.2295, FPR=0.0097, Score=0.2273
  Client 17: DR=0.2287, FPR=0.0097, Score=0.2265
  Client 18: DR=0.2286, FPR=0.0097, Score=0.2264
  Client 19: DR=0.2311, FPR=0.0098, Score=0.2288
Round 5: α = [0.0500084107947468, 0.0500060197702912, 0.050004696732776174, 0.04999583034265627, 0.05000215611458983, 0.04997837103264752, 0.05001501253325159, 0.04999913379386216, 0.049973770443417276, 0.04998315784957466, 0.050022018507886214, 0.05000234978990858, 0.05003306584869698, 0.04997150607113773, 0.050003290340050875, 0.050007602256800336, 0.05000219491373678, 0.050002490212868074, 0.049971684489558514, 0.05001723816154249]
  Client 0: DR=0.8766, FPR=0.0079, Score=0.8696
  Client 1: DR=0.8763, FPR=0.0076, Score=0.8696
  Client 2: DR=0.8766, FPR=0.0081, Score=0.8696
  Client 3: DR=0.8763, FPR=0.0079, Score=0.8694
  Client 4: DR=0.8766, FPR=0.0080, Score=0.8695
  Client 5: DR=0.8761, FPR=0.0080, Score=0.8690
  Client 6: DR=0.8764, FPR=0.0076, Score=0.8698
  Client 7: DR=0.8765, FPR=0.0080, Score=0.8695
  Client 8: DR=0.8759, FPR=0.0079, Score=0.8689
  Client 9: DR=0.8757, FPR=0.0075, Score=0.8691
  Client 10: DR=0.8766, FPR=0.0076, Score=0.8699
  Client 11: DR=0.8765, FPR=0.0079, Score=0.8695
  Client 12: DR=0.8764, FPR=0.0072, Score=0.8701
  Client 13: DR=0.8756, FPR=0.0077, Score=0.8689
  Client 14: DR=0.8765, FPR=0.0080, Score=0.8695
  Client 15: DR=0.8765, FPR=0.0079, Score=0.8696
  Client 16: DR=0.8765, FPR=0.0080, Score=0.8695
  Client 17: DR=0.8766, FPR=0.0081, Score=0.8695
