Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 12
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 79397, 'n_jobs': -1, 'max_depth': 9, 'learning_rate': 0.20211525651495557, 'n_estimators': 900, 'min_child_weight': 1, 'gamma': 0.0011375210935630209, 'subsample': 0.8669667098532958, 'colsample_bytree': 0.9319591927218307, 'max_delta_step': 8}
Optimal Threshold: 0.0900
Accuracy: 0.9447624603
Detection Rate: 0.8761403509
False Positive Rate: 0.0064266550

--- Per-Round Attention Weights ---
Round 1: α = [0.08329890302427655, 0.08339311554115923, 0.08335153205025844, 0.08313357296897046, 0.08346757678677555, 0.08343699644512792, 0.08338396228897015, 0.08331710101908574, 0.08329200030922596, 0.08336191454792885, 0.08328063524488456, 0.08328268977333649]
  Client 0: DR=0.8621, FPR=0.0011, Score=0.8611
  Client 1: DR=0.8648, FPR=0.0029, Score=0.8623
  Client 2: DR=0.8632, FPR=0.0017, Score=0.8618
  Client 3: DR=0.8604, FPR=0.0014, Score=0.8591
  Client 4: DR=0.8641, FPR=0.0011, Score=0.8631
  Client 5: DR=0.8640, FPR=0.0015, Score=0.8628
  Client 6: DR=0.8643, FPR=0.0024, Score=0.8621
  Client 7: DR=0.8676, FPR=0.0073, Score=0.8613
  Client 8: DR=0.8619, FPR=0.0010, Score=0.8610
  Client 9: DR=0.8654, FPR=0.0041, Score=0.8619
  Client 10: DR=0.8627, FPR=0.0021, Score=0.8609
  Client 11: DR=0.8617, FPR=0.0009, Score=0.8609
Round 2: α = [0.08333229479996783, 0.08336060764983419, 0.08334574034300865, 0.08333158501991815, 0.0833059441512853, 0.08328601532299508, 0.08331568202440867, 0.08333744511426174, 0.08332831120241534, 0.08333531349585749, 0.08337430538954738, 0.08334675548650021]
  Client 0: DR=0.8590, FPR=0.0006, Score=0.8584
  Client 1: DR=0.8593, FPR=0.0006, Score=0.8588
  Client 2: DR=0.8591, FPR=0.0006, Score=0.8586
  Client 3: DR=0.8590, FPR=0.0006, Score=0.8584
  Client 4: DR=0.8586, FPR=0.0006, Score=0.8581
  Client 5: DR=0.8584, FPR=0.0006, Score=0.8579
  Client 6: DR=0.8588, FPR=0.0006, Score=0.8582
  Client 7: DR=0.8590, FPR=0.0006, Score=0.8585
  Client 8: DR=0.8590, FPR=0.0007, Score=0.8584
  Client 9: DR=0.8590, FPR=0.0006, Score=0.8585
  Client 10: DR=0.8595, FPR=0.0007, Score=0.8589
  Client 11: DR=0.8591, FPR=0.0006, Score=0.8586
Round 3: α = [0.08339004824310736, 0.08332374961152965, 0.0833467942395036, 0.08331466334117833, 0.08326353651318473, 0.08341114390514794, 0.08342539710377007, 0.08313708630307283, 0.08347445204088742, 0.08320633897989889, 0.08344934448201373, 0.08325744523670538]
  Client 0: DR=0.9987, FPR=0.7200, Score=0.2797
  Client 1: DR=0.9987, FPR=0.7208, Score=0.2789
  Client 2: DR=0.9987, FPR=0.7205, Score=0.2791
  Client 3: DR=0.9987, FPR=0.7209, Score=0.2788
  Client 4: DR=0.9987, FPR=0.7215, Score=0.2781
  Client 5: DR=0.9988, FPR=0.7197, Score=0.2799
  Client 6: DR=0.9987, FPR=0.7196, Score=0.2801
  Client 7: DR=0.9987, FPR=0.7230, Score=0.2766
  Client 8: DR=0.9988, FPR=0.7190, Score=0.2807
  Client 9: DR=0.9988, FPR=0.7222, Score=0.2775
  Client 10: DR=0.9988, FPR=0.7193, Score=0.2804
  Client 11: DR=0.9987, FPR=0.7216, Score=0.2781
Round 4: α = [0.0833563940863519, 0.0833120354076215, 0.08329507307509024, 0.08335160751257921, 0.08334848592880886, 0.08333615684641994, 0.08331276510461288, 0.08333551592916749, 0.08334817320234651, 0.08331880789408408, 0.08331552996142924, 0.08336945505148825]
  Client 0: DR=0.8181, FPR=0.0006, Score=0.8176
  Client 1: DR=0.8176, FPR=0.0006, Score=0.8171
  Client 2: DR=0.8174, FPR=0.0006, Score=0.8169
  Client 3: DR=0.8181, FPR=0.0006, Score=0.8175
  Client 4: DR=0.8180, FPR=0.0006, Score=0.8175
  Client 5: DR=0.8179, FPR=0.0006, Score=0.8174
  Client 6: DR=0.8176, FPR=0.0007, Score=0.8171
  Client 7: DR=0.8179, FPR=0.0007, Score=0.8174
  Client 8: DR=0.8180, FPR=0.0006, Score=0.8175
  Client 9: DR=0.8177, FPR=0.0006, Score=0.8172
  Client 10: DR=0.8176, FPR=0.0006, Score=0.8171
  Client 11: DR=0.8183, FPR=0.0006, Score=0.8178
