Final results using Attention-Weighted FedXgbBagging:
Total rounds: 20
Number of participating clients: 8
XGBoost params: {'objective': 'binary:logistic', 'eval_metric': 'logloss', 'seed': 79397, 'n_jobs': -1, 'max_depth': 3, 'learning_rate': 0.017462960628932028, 'n_estimators': 850, 'min_child_weight': 2, 'gamma': 0.6008466563824473, 'subsample': 0.8874331341725578, 'colsample_bytree': 0.7409548092577293, 'max_delta_step': 2}
Optimal Threshold: 0.4800
Accuracy: 0.9538731212
Detection Rate: 0.8512741070
False Positive Rate: 0.0077987429

--- Per-Round Attention Weights ---
Round 1: α = [0.2754381980073579, 0.2754381980073579, 0.449123603985284]
  Client 0: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 1: DR=0.0000, FPR=0.0000, Score=0.0000
  Client 2: DR=0.4910, FPR=0.0042, Score=0.4889
Round 2: α = [0.33314799948625967, 0.3337040010274806, 0.33314799948625967]
  Client 0: DR=0.4906, FPR=0.0042, Score=0.4886
  Client 1: DR=0.4937, FPR=0.0071, Score=0.4902
  Client 2: DR=0.4906, FPR=0.0042, Score=0.4886
Round 3: α = [0.3191707045347967, 0.3191707045347967, 0.36165859093040653]
  Client 0: DR=0.4937, FPR=0.0071, Score=0.4902
  Client 1: DR=0.4937, FPR=0.0071, Score=0.4902
  Client 2: DR=0.6197, FPR=0.0072, Score=0.6152
Round 4: α = [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
  Client 0: DR=0.6197, FPR=0.0072, Score=0.6152
  Client 1: DR=0.6197, FPR=0.0072, Score=0.6152
  Client 2: DR=0.6197, FPR=0.0072, Score=0.6152
Round 5: α = [0.3466132553708623, 0.3466132553708623, 0.3067734892582754]
  Client 0: DR=0.6197, FPR=0.0072, Score=0.6152
  Client 1: DR=0.6197, FPR=0.0072, Score=0.6152
  Client 2: DR=0.4952, FPR=0.0042, Score=0.4931
Round 6: α = [0.31960961681652433, 0.31960961681652433, 0.36078076636695133]
  Client 0: DR=0.4952, FPR=0.0042, Score=0.4931
  Client 1: DR=0.4952, FPR=0.0042, Score=0.4931
  Client 2: DR=0.6170, FPR=0.0044, Score=0.6143
Round 7: α = [0.3313464997662099, 0.3373070004675801, 0.3313464997662099]
  Client 0: DR=0.6170, FPR=0.0044, Score=0.6143
  Client 1: DR=0.6359, FPR=0.0061, Score=0.6321
  Client 2: DR=0.6170, FPR=0.0044, Score=0.6143
Round 8: α = [0.3158275417119908, 0.3156758964922453, 0.36849656179576384]
  Client 0: DR=0.6359, FPR=0.0061, Score=0.6321
  Client 1: DR=0.6366, FPR=0.0078, Score=0.6316
  Client 2: DR=0.7912, FPR=0.0061, Score=0.7863
Round 9: α = [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
  Client 0: DR=0.6804, FPR=0.0078, Score=0.6751
  Client 1: DR=0.6804, FPR=0.0078, Score=0.6751
  Client 2: DR=0.6804, FPR=0.0078, Score=0.6751
Round 10: α = [0.3380748496398897, 0.3380748496398897, 0.3238503007202206]
  Client 0: DR=0.6804, FPR=0.0078, Score=0.6751
  Client 1: DR=0.6804, FPR=0.0078, Score=0.6751
  Client 2: DR=0.6359, FPR=0.0061, Score=0.6321
Round 11: α = [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
  Client 0: DR=0.6359, FPR=0.0061, Score=0.6321
  Client 1: DR=0.6359, FPR=0.0061, Score=0.6321
  Client 2: DR=0.6359, FPR=0.0061, Score=0.6321
Round 12: α = [0.3333333333333333, 0.3333333333333333, 0.3333333333333333]
  Client 0: DR=0.6359, FPR=0.0061, Score=0.6321
  Client 1: DR=0.6359, FPR=0.0061, Score=0.6321
  Client 2: DR=0.6359, FPR=0.0061, Score=0.6321
